ref,n_trades,win_rate,mean_R,median_R,total_R,expectancy_R,best_R,worst_R,pct_stopped,avg_win_R,avg_loss_R,symbol
sma34,1508,38.2,-0.0032,-0.358,-4.76,-0.0032,42.33,-1.37,100.0,1.2148,-0.7559,AVGO
sma34,1508,40.19,0.1605,-0.2828,242.06,0.1605,66.36,-1.5,100.0,1.5705,-0.7867,CRWD
sma34,1508,40.32,0.0741,-0.2722,111.77,0.0741,25.0,-1.5,100.0,1.3309,-0.7749,DELL
sma34,1508,30.84,-0.2905,-0.6667,-438.11,-0.2905,14.5,-1.5,100.0,1.1047,-0.9126,HPE
sma34,1508,37.33,0.0131,-0.3403,19.81,0.0131,23.6,-1.5,100.0,1.3121,-0.7607,MSFT
sma34,1508,39.32,-0.0692,-0.2727,-104.28,-0.0692,9.36,-1.5,100.0,0.961,-0.7368,NVDA
sma34,1508,41.18,0.0909,-0.2962,137.09,0.0909,43.4,-1.5,100.0,1.3463,-0.788,PANW
sma34,1508,39.39,-0.0364,-0.3237,-54.86,-0.0364,8.22,-1.33,100.0,1.0592,-0.7484,QQQ
sma34,1508,36.01,-0.1278,-0.372,-192.72,-0.1278,12.71,-1.5,100.0,1.0326,-0.7808,SMCI
sma34,1508,39.06,-0.0313,-0.3333,-47.2,-0.0313,11.61,-1.5,100.0,1.0916,-0.751,SPY
vwap,1508,38.4,-0.0641,-0.3608,-96.61,-0.0641,12.31,-1.37,100.0,1.0347,-0.7489,AVGO
vwap,1508,39.32,0.0621,-0.3381,93.61,0.0621,49.5,-1.5,100.0,1.3803,-0.7923,CRWD
vwap,1508,38.99,0.0186,-0.3575,28.09,0.0186,18.67,-1.5,100.0,1.2909,-0.7945,DELL
vwap,1508,32.16,-0.2619,-0.5732,-394.97,-0.2619,14.5,-1.5,100.0,1.0549,-0.8862,HPE
vwap,1508,38.4,0.0309,-0.3147,46.53,0.0309,23.6,-1.5,100.0,1.2812,-0.7484,MSFT
vwap,1508,38.79,-0.066,-0.3075,-99.53,-0.066,10.47,-1.5,100.0,0.9935,-0.7375,NVDA
vwap,1508,43.77,0.1828,-0.1983,275.71,0.1828,92.67,-1.5,100.0,1.4031,-0.7669,PANW
vwap,1508,39.26,-0.0415,-0.3397,-62.55,-0.0415,7.48,-1.25,100.0,1.0625,-0.755,QQQ
vwap,1508,38.2,-0.0132,-0.3388,-19.84,-0.0132,75.0,-1.5,100.0,1.2321,-0.7828,SMCI
vwap,1508,38.06,-0.03,-0.3601,-45.3,-0.03,12.14,-1.25,100.0,1.1274,-0.7413,SPY
