symbol,day,side,entry,exit,stop,risk,R,reason,trigger,atr
AVGO,2023-09-05,SHORT,87.394,87.5,87.49,0.296,-0.3581,STOP,sustained,0.1496
AVGO,2023-09-05,LONG,87.4681,87.38,87.39,0.1781,-0.4947,STOP,cross,0.0906
AVGO,2023-09-06,SHORT,87.175,87.18,87.17,0.245,-0.0204,STOP,sustained,0.1229
AVGO,2023-09-06,SHORT,87.127,87.33,87.32,0.193,-1.0518,STOP,sustained,0.0952
AVGO,2023-09-07,SHORT,84.744,84.37,84.36,0.466,0.8026,STOP,sustained,0.2344
AVGO,2023-09-07,LONG,84.785,85.17,85.18,0.355,1.0845,STOP,cross,0.175
AVGO,2023-09-08,SHORT,85.5016,85.76,85.75,0.2484,-1.0403,STOP,sustained,0.1249
AVGO,2023-09-08,LONG,85.875,85.77,85.78,0.165,-0.6364,STOP,cross,0.0805
AVGO,2023-09-11,SHORT,85.5945,85.89,85.88,0.2855,-1.035,STOP,sustained,0.1432
AVGO,2023-09-11,SHORT,85.6949,85.71,85.7,0.2751,-0.0549,STOP,sustained,0.1385
AVGO,2023-09-12,LONG,85.5535,85.62,85.63,0.1435,0.4634,STOP,sustained,0.074
AVGO,2023-09-12,LONG,85.688,85.65,85.66,0.138,-0.2754,STOP,sustained,0.0696
AVGO,2023-09-13,SHORT,84.5065,84.67,84.66,0.1535,-1.0651,STOP,sustained,0.0773
AVGO,2023-09-13,SHORT,84.5805,84.65,84.64,0.1795,-0.3872,STOP,sustained,0.0887
AVGO,2023-09-14,LONG,86.04,85.86,85.87,0.17,-1.0588,STOP,sustained,0.0832
AVGO,2023-09-14,LONG,86.03,85.85,85.86,0.17,-1.0588,STOP,sustained,0.0854
AVGO,2023-09-15,LONG,86.211,85.94,85.95,0.261,-1.0383,STOP,sustained,0.1316
AVGO,2023-09-15,LONG,86.149,85.87,85.88,0.269,-1.0372,STOP,sustained,0.1322
AVGO,2023-09-18,LONG,85.581,85.39,85.4,0.181,-1.0552,STOP,sustained,0.0914
AVGO,2023-09-18,LONG,85.4185,85.22,85.23,0.1885,-1.0531,STOP,sustained,0.0943
AVGO,2023-09-19,SHORT,83.936,84.11,84.1,0.164,-1.061,STOP,sustained,0.0828
AVGO,2023-09-19,LONG,84.2935,84.59,84.6,0.1635,1.8135,STOP,sustained,0.0826
AVGO,2023-09-20,LONG,84.7335,84.65,84.66,0.1835,-0.455,STOP,sustained,0.0924
AVGO,2023-09-20,SHORT,84.44,84.56,84.55,0.11,-1.0909,STOP,sustained,0.0554
AVGO,2023-09-21,SHORT,79.866,80.44,80.43,0.564,-1.0177,STOP,sustained,0.2808
AVGO,2023-09-21,LONG,80.3905,80.51,80.52,0.2505,0.477,STOP,sustained,0.1259
AVGO,2023-09-22,LONG,82.0075,81.79,81.8,0.2375,-0.9158,STOP,sustained,0.1172
AVGO,2023-09-22,SHORT,81.639,81.81,81.8,0.231,-0.7403,STOP,sustained,0.1156
AVGO,2023-09-25,SHORT,82.958,83.17,83.16,0.272,-0.7794,STOP,sustained,0.1347
AVGO,2023-09-25,SHORT,83.1464,82.94,82.93,0.2436,0.8473,STOP,sustained,0.1193
AVGO,2023-09-26,LONG,82.2744,82.09,82.1,0.1744,-1.0573,STOP,cross,0.0851
AVGO,2023-09-26,SHORT,81.956,82.06,82.05,0.184,-0.5652,STOP,cross,0.0905
AVGO,2023-09-27,SHORT,81.89,81.7,81.69,0.19,1.0,STOP,cross,0.0943
AVGO,2023-09-27,SHORT,81.667,81.51,81.5,0.143,1.0979,STOP,sustained,0.0696
AVGO,2023-09-28,LONG,82.6045,82.38,82.39,0.2145,-1.0466,STOP,sustained,0.1075
AVGO,2023-09-28,LONG,82.546,82.35,82.36,0.186,-1.0538,STOP,sustained,0.0939
AVGO,2023-09-29,LONG,84.039,84.31,84.32,0.219,1.2374,STOP,sustained,0.1096
AVGO,2023-09-29,LONG,84.2135,84.08,84.09,0.1635,-0.8165,STOP,sustained,0.0825
AVGO,2023-10-02,SHORT,82.967,83.3,83.29,0.323,-1.031,STOP,sustained,0.1638
