symbol,day,side,entry,exit,stop,risk,R,reason,trigger,atr
AVGO,2023-09-05,LONG,87.885,87.42,87.43,0.455,-1.022,STOP,sustained,0.2284
AVGO,2023-09-05,SHORT,87.332,87.64,87.63,0.298,-1.0336,STOP,sustained,0.1503
AVGO,2023-09-06,SHORT,87.175,87.18,87.17,0.245,-0.0204,STOP,sustained,0.1229
AVGO,2023-09-06,SHORT,87.127,87.33,87.32,0.193,-1.0518,STOP,sustained,0.0952
AVGO,2023-09-07,SHORT,84.744,84.37,84.36,0.466,0.8026,STOP,sustained,0.2344
AVGO,2023-09-07,SHORT,84.583,84.89,84.88,0.297,-1.0337,STOP,sustained,0.1464
AVGO,2023-09-08,SHORT,85.5016,85.76,85.75,0.2484,-1.0403,STOP,sustained,0.1249
AVGO,2023-09-08,SHORT,85.725,85.89,85.88,0.155,-1.0645,STOP,sustained,0.0775
AVGO,2023-09-11,SHORT,85.5945,85.89,85.88,0.2855,-1.035,STOP,sustained,0.1432
AVGO,2023-09-11,SHORT,85.743,85.72,85.71,0.277,0.083,STOP,sustained,0.1383
AVGO,2023-09-12,LONG,85.5535,85.62,85.63,0.1435,0.4634,STOP,sustained,0.074
AVGO,2023-09-12,LONG,85.688,85.65,85.66,0.138,-0.2754,STOP,sustained,0.0696
AVGO,2023-09-13,LONG,84.799,84.65,84.66,0.139,-1.0719,STOP,sustained,0.0672
AVGO,2023-09-13,SHORT,84.5065,84.67,84.66,0.1535,-1.0651,STOP,cross,0.0773
AVGO,2023-09-14,LONG,86.04,85.86,85.87,0.17,-1.0588,STOP,sustained,0.0832
AVGO,2023-09-14,LONG,85.783,85.81,85.82,0.163,0.1656,STOP,sustained,0.0833
AVGO,2023-09-15,SHORT,86.094,86.17,86.16,0.276,-0.2754,STOP,sustained,0.1362
AVGO,2023-09-15,SHORT,86.129,85.93,85.92,0.261,0.7625,STOP,sustained,0.1322
AVGO,2023-09-18,LONG,85.4335,85.34,85.35,0.2135,-0.4379,STOP,sustained,0.1085
AVGO,2023-09-18,SHORT,84.757,84.96,84.95,0.193,-1.0518,STOP,sustained,0.0973
AVGO,2023-09-19,SHORT,83.924,84.06,84.05,0.166,-0.8193,STOP,sustained,0.0845
